Country ,2019,2020,2021,2022,2023
Guyana,6405.824434,6775.709391,9860.872334,17913.49101,20765.35036
High income,41457.38717,40262.86988,45229.27533,46632.84861,48752.71274
"Hong Kong SAR, China",48359.0012,46109.22999,49770.56424,48826.05277,50531.73854
Honduras,2502.327443,2307.614943,2735.147515,3003.289968,3231.657245
Heavily indebted poor countries (HIPC),976.3125476,959.1817376,1040.034107,1100.340765,1231.81257
Croatia,15563.81674,14808.46202,17789.93047,18466.09555,21865.45628
Haiti,1352.172042,1290.325387,1835.443941,1760.626357,1705.779055
Hungary,16786.21364,16131.95404,18755.10235,18353.29836,22141.86698
IBRD only,6459.056497,6171.879657,7289.992048,7651.517025,7832.149756
IDA & IBRD total,5125.361189,4884.262425,5707.610643,5974.316584,6075.122993
IDA total,1430.29037,1370.262578,1460.266755,1545.893118,1510.984397
IDA blend,1865.356055,1713.864579,1827.963106,1944.228147,1687.281337
Indonesia,4106.948562,3853.702888,4287.17314,4730.745489,4876.314327
IDA only,1211.19959,1197.826556,1276.232716,1347.049598,1424.845979
India,2041.428637,1907.042516,2239.613844,2352.613925,2480.792087
Ireland,82508.46599,87567.1149,105561.1375,106194.7559,103887.8004
"Iran, Islamic Rep.",3831.278948,2988.781224,4334.792686,4405.092915,4465.63767
Iraq,5671.856863,4295.189451,4868.494311,6504.124284,5565.126446
Iceland,68452.23622,59023.56635,69325.90783,75314.08556,79636.95486
Israel,44140.82894,44679.77158,52255.61591,54930.72616,52642.42675
Italy,33812.78872,32091.48666,36852.54254,35635.74422,39003.3161
Jamaica,5607.243007,4879.440246,5165.33781,6022.153411,6839.725039
Jordan,4170.1144,4022.040136,4183.499983,4332.251599,4455.505405
Japan,40415.95676,40040.76551,40058.53733,34017.27181,33766.52683
Kazakhstan,9457.126147,8781.507978,9983.601036,11255.33964,12918.86613
Kenya,1960.408089,1927.66459,2061.356221,2109.562885,1952.304579
Kyrgyz Republic,1421.999275,1229.517757,1349.997307,1739.720308,1970.15781
Cambodia,2225.877055,2081.739142,2167.403242,2325.0305,2429.748535
